Índice,Autovalor (λ),Raiz (√λ = kc),kc * r
1,1.2727329344865484e-11,3.5675382751787656e-06,3.5675382751787655e-08
2,33924.6356892168,184.18641559359583,1.8418641559359583
3,33924.73988345732,184.1866984433385,1.8418669844333853
4,93423.3937235117,305.6524067032872,3.056524067032872
5,93423.6856027965,305.65288417221996,3.0565288417221996
6,147200.13667154164,383.6666999773914,3.836666999773914
7,176964.39408237426,420.67136113880423,4.206713611388042
8,176965.80463827917,420.6730376887484,4.206730376887484
9,283931.24181849376,532.8519886596031,5.328519886596031
10,283931.9533979408,532.8526563675373,5.328526563675373
11,285558.16948583775,534.3764305111498,5.343764305111498
12,285562.85849634034,534.3808178596424,5.343808178596425
13,414056.7340066067,643.4724034537975,6.434724034537975
14,414063.07450565294,643.4773302189075,6.4347733021890745
15,452902.3145605508,672.9801739728673,6.729801739728673
16,452930.2172305531,673.0009043311555,6.730009043311555
17,496009.83854306536,704.2796593279302,7.042796593279302
18,567274.9096139245,753.1765461124799,7.531765461124799
19,567286.1820208363,753.1840293187557,7.531840293187558
20,648832.9612159644,805.5016829380088,8.055016829380088
21,648880.5475774661,805.5312207341601,8.0553122073416
22,736932.9332500647,858.4479793499806,8.584479793499806
23,736962.740317099,858.4653401955719,8.58465340195572
24,743622.0433937964,862.3352268078792,8.623352268078792
25,743682.8098750672,862.3704597648665,8.623704597648665
26,873071.9093734948,934.3831705320333,9.343831705320333
27,873078.412498097,934.3866504280212,9.343866504280212
28,943312.6806214119,971.2428535754649,9.712428535754649
